Field,Label,Value
id,Dataset ID,a62b2816-7d2e-4e07-a794-0a1dcb507092
title,Title of Dataset,Angola - Subnational Administrative Boundaries
name,Dataset URL,cod-ab-ago
notes,Description,"Angola administrative level 0-3 boundaries (COD-AB) dataset version 01.    This dataset is structured into 3 levels: - Admin 1: 18 Province - Admin 2: 161 Municipality - Admin 3: 539     Dates associated with this dataset: - 28 January 2025: dataset reviewed for accuracy and completeness - 04 September 2018: valid for use by the humanitarian community - 30 August 2018: last edit to the dataset before publishing - 30 August 2018: boundaries created by the source    Contributed by <a href=""https://data.humdata.org/organization/ocha-rosea"">OCHA Regional Office for Southern and Eastern Africa (ROSEA)</a>. Quality assured, configured, and published by <a href=""https://data.humdata.org/organization/ocha-fiss"">OCHA Field Information Services (FIS)</a> and <a href=""https://data.humdata.org/organization/hdx"">HDX</a>.    Part of the dataset: <a href=""https://data.humdata.org/dataset/cod-ab-global"">Global Subnational Administrative Boundaries</a>"
dataset_source,Source,www.gadm.org and Instituto Nacional de Estatística (INE - www.ine.gov.ao) - see methodology
organization,Contributor,OCHA Field Information Services Section (FISS)
dataset_date,Reference Period,[2018-09-04T00:00:00 TO 2025-01-28T23:59:59]
last_modified,Updated,2026-01-26T15:09:28.049371
data_update_frequency,Expected Update Frequency,Every year
groups,Location,Angola
license_title,License,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO)
methodology,Methodology,Other
methodology_other,Define Methodology,"Dataset: The source of the Angola data is the [GADM (Global Administrative Boundaries Database)](https://gadm.org/)  administrative boundary level 3 (Communes), edited by OCHA based on the Angola [Instituto Nacional de Estatística (INE)]( http://www.ine.gov.ao) Census 2014 Preliminary report maps in order to facilitate a join to the Census 2014 population data.
 
OCHA added new Census 2014 districts by digitizing the general areas from map images in the Angola INE census pdf report that were geo-referenced . The edited boundaries therefore do not have a high spatial accuracy, however may still be beneficial for planning and population purposes. 

Edits were made to the Commune (Admin 3) data and dissolved to Administrative Boundary 2/1/0 levels to ensure nesting, and topology checked.

The following boundary changes were made based on the INE Census 2014 data and maps: 

•	Added new Catumbela Municipality in Benguela Province

•	Added new Cacula Municipality in Huila Province

•	Merged municipalities into new Luanda Municipality (there are fewer municipalities in the new data set as Ingombota, Kilamba Kiaxi Maianga, Rangel and Sambizanga have been merged to create the new Luanda municipality, as per Census 2014 data and maps).

•	Adjusted boundaries of Cazenga, Viana and Belas/Samba, Cacuaco, Cazenga and Dande municipalities as per Census 2014 data and maps.

•	Adjusted Province boundaries, based on Census 2014 data and maps (boundary changes for Luanda, Lunda Norte, Lunda Sul, Beng ,Cuanza Norte,  and Malanje Provinces )

•	Changed Province for Icolo e Bengo municipality from Bengo to Luanda, as per Census 2014 reports from INE.

•	Changed Province for Bula Aumba, Dembos and Pangol Alquem municipalities from Cuanze Norte to Bengo, as per Census 2014 reports from INE.

•	Changed Province for part of Muxima/Quassama from Bengo to Luanda, as per Census 2014 reports from INE.

Municipality names have been updated as per INE Census 2014 data.
  
  
P-codes: nan"
caveats,Caveats/Comments,NaN
tags,Tags,"administrative boundaries-divisions, gazetteer, geodata"
resource_1_created,Created,2025-12-18T15:41:17.900407
resource_1_description,Description,"Angola administrative level 0-3 boundaries (COD-AB), Geodatabase"
resource_1_format,File Format,Geodatabase
resource_1_download_url,Download URL,https://data.humdata.org/dataset/a62b2816-7d2e-4e07-a794-0a1dcb507092/resource/2d79a4a7-a161-4775-af64-7aa0a7c9a5a9/download/ago_admin_boundaries.gdb.zip
resource_1_id,Resource ID,2d79a4a7-a161-4775-af64-7aa0a7c9a5a9
resource_1_last_modified,Updated,2026-01-26T15:09:26.759595
resource_1_metadata_modified,Metadata Updated,2026-03-10T08:39:57.668945
resource_1_microdata,Microdata,False
resource_1_dataset_id,Dataset ID,a62b2816-7d2e-4e07-a794-0a1dcb507092
resource_1_resource_type,Resource Type,file.upload
resource_1_name,Resource Name,ago_admin_boundaries.gdb.zip
resource_1_mimetype,MIME Type,application/zip
resource_1_size,Size,2.2M
resource_2_created,Created,2025-12-18T15:41:17.900413
resource_2_description,Description,"Angola administrative level 0-3 boundaries (COD-AB), SHP"
resource_2_format,File Format,SHP
resource_2_download_url,Download URL,https://data.humdata.org/dataset/a62b2816-7d2e-4e07-a794-0a1dcb507092/resource/e793b6b3-77df-4e06-a7f5-2fac6882863f/download/ago_admin_boundaries.shp.zip
resource_2_id,Resource ID,e793b6b3-77df-4e06-a7f5-2fac6882863f
resource_2_last_modified,Updated,2026-01-26T15:09:27.205281
resource_2_metadata_modified,Metadata Updated,2026-03-10T08:39:57.669061
resource_2_microdata,Microdata,False
resource_2_dataset_id,Dataset ID,a62b2816-7d2e-4e07-a794-0a1dcb507092
resource_2_resource_type,Resource Type,file.upload
resource_2_name,Resource Name,ago_admin_boundaries.shp.zip
resource_2_mimetype,MIME Type,application/zip
resource_2_size,Size,4.6M
resource_3_created,Created,2025-12-18T15:41:17.900416
resource_3_description,Description,"Angola administrative level 0-3 boundaries (COD-AB), GeoJSON"
resource_3_format,File Format,GeoJSON
resource_3_download_url,Download URL,https://data.humdata.org/dataset/a62b2816-7d2e-4e07-a794-0a1dcb507092/resource/1076fc26-8c42-4196-bb6b-2353487fd7e0/download/ago_admin_boundaries.geojson.zip
resource_3_id,Resource ID,1076fc26-8c42-4196-bb6b-2353487fd7e0
resource_3_last_modified,Updated,2026-01-26T15:09:27.536720
resource_3_metadata_modified,Metadata Updated,2026-03-10T08:39:57.669164
resource_3_microdata,Microdata,False
resource_3_dataset_id,Dataset ID,a62b2816-7d2e-4e07-a794-0a1dcb507092
resource_3_resource_type,Resource Type,file.upload
resource_3_name,Resource Name,ago_admin_boundaries.geojson.zip
resource_3_mimetype,MIME Type,application/zip
resource_3_size,Size,6.1M
resource_4_created,Created,2025-12-18T15:41:17.900421
resource_4_description,Description,"Angola administrative level 0-3 boundaries (COD-AB), XLSX"
resource_4_format,File Format,XLSX
resource_4_download_url,Download URL,https://data.humdata.org/dataset/a62b2816-7d2e-4e07-a794-0a1dcb507092/resource/1e2b4c71-600c-4917-9de3-46fb011c8976/download/ago_admin_boundaries.xlsx
resource_4_id,Resource ID,1e2b4c71-600c-4917-9de3-46fb011c8976
resource_4_last_modified,Updated,2026-01-26T15:09:28.049371
resource_4_metadata_modified,Metadata Updated,2026-03-10T08:39:57.669242
resource_4_microdata,Microdata,False
resource_4_dataset_id,Dataset ID,a62b2816-7d2e-4e07-a794-0a1dcb507092
resource_4_resource_type,Resource Type,file.upload
resource_4_name,Resource Name,ago_admin_boundaries.xlsx
resource_4_mimetype,MIME Type,
resource_4_size,Size,167.1K
